Table 1
Table 72
Person/Distance,Time
100 Meters,13.10PR
200 Meters,28.13PR

Table 73
Person/Distance,Time
1600 Meters,5:21.67PR
3200 Meters,12:12.85PR

Table 74
Person/Distance,Time
100 Meters,12.93PR

Table 75
Person/Distance,Time
100 Meters,12.53PR

Table 76
Person/Distance,Time
100 Meters,13.29PR
200 Meters,27.76PR

Table 77
Person/Distance,Time

Table 78
Person/Distance,Time
800 Meters,2:21.21PR
1600 Meters,5:13.37PR

Table 79
Person/Distance,Time
100 Meters,12.96PR
200 Meters,27.81PR

Table 80
Person/Distance,Time

Table 81
Person/Distance,Time
200 Meters,27.09PR
400 Meters,1:01.24PR
"300m Hurdles - 36""",49.01PR

Table 82
Person/Distance,Time

Table 83
Person/Distance,Time
"110m Hurdles - 39""",22.44PR

Table 84
Person/Distance,Time

Table 85
Person/Distance,Time
100 Meters,12.43PR
200 Meters,25.69

Table 86
Person/Distance,Time

Table 87
Person/Distance,Time
1600 Meters,4:38.20PR
3200 Meters,10:00.83PR

Table 88
Person/Distance,Time
800 Meters,2:12.52

Table 89
Person/Distance,Time
100 Meters,13.96PR
200 Meters,29.72PR
800 Meters,2:39.09PR

Table 90
Person/Distance,Time
100 Meters,13.14PR
200 Meters,27.05PR

Table 91
Person/Distance,Time

Table 92
Person/Distance,Time

Table 93
Person/Distance,Time
800 Meters,2:34.25PR
1600 Meters,5:29.83PR

Table 94
Person/Distance,Time
1600 Meters,4:41.83PR
3200 Meters,9:56.76PR

Table 95
Person/Distance,Time
1600 Meters,6:05.29PR

Table 96
Person/Distance,Time
800 Meters,2:03.15PR
1600 Meters,4:44.11PR

Table 97
Person/Distance,Time
800 Meters,2:17.71PR
1600 Meters,5:18.29PR

Table 98
Person/Distance,Time
800 Meters,2:12.09PR
1600 Meters,4:44.84PR
3200 Meters,10:29.59PR

Table 99
Person/Distance,Time

